Financial Year,Inflation,Population,Consumption,Disasters,(in $) Oil Price Nminal,Oil Price Inflation Adjusted,M1 (Narrow money),M3 (Broad Money),CO2 Emission,Exports,Imports,Gross Domestic Product (in Rs. Cr) at 2004-05 Prices,Agriculture & Allied Services (in Rs. Cr.) at 2004-05 Prices,Agriculture (in Rs. Cr.) at 2004-05 Prices,Industry (in Rs. Cr.) at 2004-05 Prices,Mining and Quarrying (in Rs. Cr.) at 2004-05 Prices,Manufacturing (in Rs. Cr.) at 2004-05 Prices,Services (in Rs. Cr.) at 2004-05 Prices
1951,3,335036002,83.55850233,0,2.77,25.7,0.1044768067,0.032621971,0.1763832676,716,890,286147,147216,118877,"47,768","5,772","25,889","84,799"
1952,4,346841799,83.12382401,0,2.77,25.13,0.1193291,0.03673581,0.1874986302,578,702,294267,151859,123822,"47,739","5,905","26,789","87,438"
1953,3,358647596,82.68914569,0,2.92,26.23,0.1176223,0.03679493,0.1986139929,531,610,312177,163553,134958,"50,409","5,993","28,863","89,940"
1954,4,370453393,82.25446737,1,2.99,26.82,0.1221983,0.03831624,0.2097293555,593,700,325431,168361,138731,"54,574","6,250","30,885","94,172"
1955,3,382259190,81.81978904,0,2.93,26.31,0.1332878,0.04214446,0.2208447181,609,774,333766,166906,136679,"60,311","6,348","33,304","98,845"
1956,4,394064986,81.38511072,0,2.94,26.07,0.146912,0.04653236,0.2319600807,605,841,352766,175980,144859,"65,480","6,671","35,804",103391
1957,3,405870783,80.9504324,1,3.14,26.9,0.1555504,0.05056335,0.2430754434,561,1035,348500,168075,137497,"64,842","7,105","37,184",107275
1958,5.15,417676580,80.51575408,0,3,25.04,0.1592874,0.05526649,0.254190806,581,906,374948,185010,152961,"69,335","7,327","39,026",111690
1959,4.23,429482377,80.08107576,0,3,24.79,0.1679939,0.06148144,0.2681614074,640,961,383153,183147,150730,"74,081","7,704","41,676",117232
1960,0,449661874,80.827,0,2.91,23.72,0.1803707,0.06733496,0.2681614074,642,1122,410279,195482,161708,"82,413","8,857","45,134",123872
1961,3.21,458691457,79.492,0,2.85,22.96,0.1882945,0.06838205,0.2842917282,660,1090,423011,195647,161187,"88,006","9,367","48,988",130511
1962,2.48,468054145,77.995,0,2.85,22.69,0.2032018,0.07453309,0.306519469,685,1131,431960,191755,157727,"93,996","10,479","52,554",137883
1963,6.87,477729958,76.899,0,2.91,22.9,0.224897,0.08081267,0.3225329926,793,1223,453829,196241,160682,103221,"10,789","57,525",146069
1964,17.01,487690114,77.634,0,3,23.3,0.253498,0.08937775,0.3089004466,816,1349,488247,214343,177284,110195,"10,945","61,503",154472
1965,5.49,497920270,76.224,0,3.01,23,0.277073,0.09793177,0.3333306495,810,1409,470402,190675,153404,114706,"12,231","62,074",158795
1966,13.94,508402908,77.075,0,3.1,23.01,0.3044021,0.1090647,0.3378539821,1157,2078,475190,187962,149894,118823,"12,519","62,563",163712
1967,8.6,519162069,78.116,0,3.12,22.53,0.3294758,0.1193233,0.3317634324,1199,2008,513860,215914,175484,122755,"12,899","62,804",169942
1968,-2.23,530274729,77.824,0,3.18,21.99,0.357387,0.1315547,0.3532810801,1358,1909,527270,215572,174879,128685,"13,264","66,283",177732
1969,3.54,541844848,76.201,0,3.32,21.81,0.3918106,0.147894,0.3519906809,1413,1582,561630,229428,187556,138291,"13,919","73,394",186910
1970,5.01,553943226,75.374,0,3.39,21.04,0.4454616,0.1712449,0.352279914,1535,1634,589787,245699,201455,139321,"12,965","75,118",196158
1971,4.89,566605402,73.407,0,3.6,21.42,0.5029421,0.1970749,0.3633376002,1608,1825,595741,241087,196089,142814,"13,308","77,573",203374
1972,7.66,579800632,74.062,1,3.6,20.74,0.567629,0.2283773,0.3757311117,1971,1867,593843,228988,185055,148011,"14,094","80,614",209353
1973,23.81,593451889,75.134,0,4.75,25.56,0.6662048,0.2727016,0.3780313066,2523,2955,620872,245479,200648,148920,"14,271","84,201",216163
1974,25.4,607446519,73.505,0,9.35,45.6,0.761049,0.3154595,0.3819146999,3329,4519,628079,241740,195119,151024,"14,979","86,655",225076
1975,-6.18,621703641,72.538,0,12.21,54.61,0.8224584,0.3524831,0.4056620798,4036,5265,684634,272899,222817,161723,"16,795","88,482",240036
1976,0,636182810,71.028,0,13.1,55.46,0.9268229,0.4135537,0.4146381211,5142,5074,693191,257131,209266,175745,"17,391","96,242",251164
1977,7.86,650907559,72.04,1,14.4,57.2,1.086131,0.5005257,0.4287112081,5408,6020,744972,282937,235455,188059,"17,936",102232,263566
1978,1.51,665936435,70.34,0,14.95,55.24,1.04142,0.5978629,0.4251097434,5726,6811,785965,289452,240148,201012,"18,423",114859,281161
1979,11.7,681358553,70.03,0,25.1,82.51,1.195345,0.7264047,0.4357343424,6418,9143,745083,252475,208060,194656,"18,621",111159,287349
1980,9.09,697229745,74.863,0,37.42,109.51,1.346182,0.8451257,0.4503769572,6711,12549,798506,285015,238102,204861,"20,891",111376,300614
1981,12.73,713561406,70.629,0,35.75,94.83,1.56637,1.000408,0.4748549055,7806,13608,843426,298130,249645,221264,"23,745",120475,316225
1982,8.05,730303461,69.383,1,31.83,79.5,1.726676,1.140061,0.4787563906,8803,14293,868092,297293,249296,224402,"26,569",124436,338781
1983,12.46,747374856,71.38,1,29.08,70.34,1.964588,1.335369,0.506665544,9771,15831,936270,327382,276104,242075,"27,338",137168,358157
1984,5.19,764664278,68.996,1,28.75,66.67,2.305378,1.576854,0.507567776,11744,17134,973357,332571,280200,251942,"27,658",142940,380009
1985,7.14,782085127,67.391,2,26.92,60.27,2.663298,1.849351,0.5455592624,10895,19658,1013866,333616,280747,262985,"29,167",147496,409162
1986,9.21,799607235,66.193,1,14.44,31.72,3.011783,2.163024,0.5722458564,12452,20096,1057612,332250,279649,278124,"32,739",155600,440226
1987,9.31,817232241,66.21,1,17.75,37.62,3.484306,2.549906,0.5977261365,15674,22244,1094993,326975,274820,293615,"33,974",164314,468201
1988,8.79,834944397,65.359,2,14.87,30.33,3.992097,2.978366,0.6318551965,20232,28235,1206243,378113,321114,320331,"39,468",178275,500724
1989,5.42,852736160,65.054,1,18.33,35.6,4.717677,3.53605,0.6790005234,27658,35328,1280228,382609,322384,346926,"42,466",194033,545183
1990,13.71,870601776,64.606,2,23.19,42.62,5.628168,4.163607,0.7111800505,32553,43198,1347889,397971,336176,372360,"46,909",203295,573465
1991,13.07,888513869,65.865,1,20.2,35.73,6.579693,4.832215,0.7407760902,44041,47851,1367171,390201,328407,373634,"48,484",198419,600366
1992,8,906461358,65.021,1,19.25,33.04,7.926031,5.75118,0.7712274493,53688,63375,1440504,416153,351584,385647,"48,931",204551,634549
1993,8.64,924475633,67.134,2,16.75,27.94,8.679264,6.615051,0.7828190297,69751,73101,1522344,429981,362764,406848,"49,611",222124,681351
1994,9.47,942604211,66.135,0,15.66,25.44,10.69586,7.892856,0.8112958112,82674,89971,1619694,450258,379959,444122,"54,219",246161,721140
1995,9.69,960874982,64.028,1,16.75,26.48,12.87491,9.241396,0.8446073841,106353,122678,1737741,447127,376243,494262,"57,400",284221,794041
1996,10.41,979290432,68.22,2,20.46,31.4,14.41168,10.68248,0.9009831764,118817,138920,1876319,491484,415377,525864,"57,718",311226,853843
1997,6.29,997817250,65.113,1,18.64,27.98,16.20877,12.4895,0.9196925439,130100,154176,1957032,478933,403030,546966,"63,380",311385,930089
1998,15.32,1016160361,65.603,1,11.91,17.6,18.09129,14.8657,0.9211128417,139752,178332,2087828,509203,431719,569656,"65,171",321137,1007138
1999,0.47,1034565817,62.259,2,16.56,23.89,20.74571,17.57993,0.9621149802,159561,215236,2246276,522795,442113,603631,"67,902",338458,1119850
2000,3.48,1053481072,64.219,0,27.39,38.29,23.34887,20.36513,0.9794703393,203571,230873,2342774,522755,439432,640043,"69,472",363163,1179976
2001,5.16,1071801941,62.928,1,23,31.3,25.95613,23.77253,0.9713260998,209018,245200,2472052,554157,467815,656737,"70,766",371408,1261158
2002,3.2,1090314925,64.104,0,22.81,30.52,28.9457,27.50033,0.9670419412,255137,297206,2570690,517559,429752,704095,"76,721",396912,1349035
2003,3.72,1108827910,63.116,0,27.69,36.26,32.94973,31.11191,0.992085712,293367,359108,2777813,564391,476324,755625,"78,792",422062,1457797
2004,3.78,1127340895,58.366,1,37.66,47.98,38.82572,35.59016,1.024769587,375340,501065,2971464,565426,476634,829783,"85,028",453225,1576255
2005,5.57,1144326293,57.591,2,50.04,61.65,45.35086,40.84675,1.068369345,456418,660409,3253073,594487,502996,910413,"86,141",499020,1748173
2006,6.53,1163144795,56.96,0,58.3,69.64,55.02471,48.49006,1.121874735,571779,840506,3564364,619190,523745,1021204,"92,578",570458,1923970
2007,5.51,1181352262,51.66,0,64.2,74.44,63.66491,59.0039,1.193205418,655864,1012312,3896636,655080,556956,1119995,"95,997",629073,2121561
2008,9.7,1199559730,56.369,2,91.48,102,74.54766,71.64302,1.310181881,840755,1374436,4158676,655689,555442,1169736,"98,055",656302,2333251
2009,14.97,1217767197,53.314,2,53.48,59.93,84.54317,86.00798,1.43194797,845534,1363736,4516071,660987,557715,1276919,103830,730435,2578165
2010,9.47,1230984504,52.707,1,71.21,78.65,100,100,1.397004578,1142922,1683467,4937006,713477,606848,1393879,108938,801476,2829650
2011,6.49,1251243321,55.88,4,87.04,93.21,107.7039,116.5725,1.480435644,1465959,2345463,5243582,739495,630540,1442498,108249,823023,3061589
2012,11.17,1268894306,57.774,3,86.46,90.72,117.3674,132.5848,1.597436189,1166439,1967522,5503476,752746,656243,1487533,108713,838541,3263196